Designator,Footprint,Quantity,Value,LCSC Part #
"""DRIVE"" 2K LIN",PinHeader_1x02_P2.54mm_Vertical,1,2K lin DRIVE,
"""VOL"" 50K LOG",PinHeader_1x03_P2.54mm_Vertical,1,50K log VOL,
C1,CP_Radial_D5.0mm_P2.50mm,1,2.2uF,
"C2, C3, C7",CP_Radial_D5.0mm_P2.50mm,3,22uF,
C4,C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,1,1nF,
"C5, C8",C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,2,0.1uF,
C6,C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,1,470pF,
J10,PinHeader_1x03_P2.54mm_Vertical_TRS,1,AudioIn,
J12,PinHeader_1x02_P2.54mm_Vertical_TS,1,AudioOut,
J2,PinHeader_1x01_P2.54mm_Vertical,1,FX Return,
J3,PinHeader_1x01_P2.54mm_Vertical,1,From FX Send,
Q1,TO-92_Inline_Wide,1,2N3904,
Q2,TO-92_Inline_Wide,1,2N3906,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,22K,
"R10, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,680K,
"R11, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,220,
R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,47K,
R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,200K,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,180K,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10K,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100K,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,150K,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,39K,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2M,
V1,PinHeader_1x02_P2.54mm_Vertical,1,9V,
