Designator,Mid X,Mid Y,Rotation,Layer
"""DRIVE"" 2K LIN",176.652,-69.85,270.0,top
"""VOL"" 50K LOG",127.65,-69.85,270.0,top
C1,133.35,-74.93,0.0,bottom
C2,139.089887,-74.93,0.0,bottom
C3,175.26,-74.93,0.0,bottom
C4,166.37,-68.707,180.0,bottom
C5,156.337,-64.71,90.0,bottom
C6,152.7175,-64.71,270.0,bottom
C7,169.569887,-74.93,0.0,bottom
C8,149.098,-64.71,270.0,bottom
J10,125.745,-75.565,90.0,bottom
J12,181.097,-75.565,90.0,bottom
J2,144.78,-75.311,0.0,bottom
J3,148.59,-75.311,0.0,bottom
Q1,156.845,-57.15,0.0,bottom
Q2,148.59,-57.15,0.0,bottom
R1,147.574,-72.009,180.0,bottom
R10,166.37,-59.309,180.0,bottom
R11,145.796,-64.77,90.0,bottom
R12,139.065,-68.453,180.0,bottom
R13,166.37,-56.261,180.0,bottom
R2,139.065,-62.357,180.0,bottom
R3,139.065,-65.405,0.0,bottom
R4,139.065,-59.309,0.0,bottom
R5,166.37,-65.405,0.0,bottom
R6,166.37,-62.357,180.0,bottom
R7,139.065,-56.261,180.0,bottom
R8,157.734,-72.009,180.0,bottom
R9,159.639,-64.77,270.0,bottom
V1,158.11,-75.311,90.0,bottom
